Search_method Problem Max_evals Run Score
hill_climber_cliff_score knapPI_11_200_1000_4 2000 9 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 10 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 11 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 12 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 13 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 14 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 15 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 16 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 17 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 18 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 19 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 20 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 21 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 22 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 23 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 24 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 25 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 26 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 27 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 28 0
hill_climber_cliff_score knapPI_11_200_1000_4 2000 29 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 0 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 1 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 2 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 3 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 4 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 5 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 6 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 7 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 8 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 9 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 10 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 11 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 12 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 13 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 14 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 15 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 16 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 17 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 18 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 19 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 20 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 21 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 22 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 23 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 24 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 25 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 26 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 27 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 28 0
hill_climber_cliff_score knapPI_13_200_1000_4 2000 29 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 0 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 1 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 2 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 3 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 4 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 5 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 6 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 7 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 8 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 9 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 10 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 11 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 12 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 13 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 14 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 15 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 16 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 17 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 18 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 19 0
hill_climber_cliff_score knapPI_16_200_1000_4 2000 20 0
